provider_id,provider_name,provider_city,provider_state,provider_zip_code,apc,apc_desc,capc_services,average_medicare_allowed_amount,CBSA
10001,Southeast Alabama Medical Center,Dothan,AL,36301,5114,Level 4 Musculoskeletal Procedures,175,4399.54,20020
10005,Marshall Medical Center South,Boaz,AL,35957,5114,Level 4 Musculoskeletal Procedures,126,4433.83,22840
10005,Marshall Medical Center South,Boaz,AL,35957,5114,Level 4 Musculoskeletal Procedures,126,4433.83,13820
10005,Marshall Medical Center South,Boaz,AL,35957,5114,Level 4 Musculoskeletal Procedures,126,4433.83,23460
10005,Marshall Medical Center South,Boaz,AL,35957,5114,Level 4 Musculoskeletal Procedures,126,4433.83,10700
10006,Eliza Coffee Memorial Hospital,Florence,AL,35631,5114,Level 4 Musculoskeletal Procedures,100,4068.72,22520
10011,St Vincent's East,Birmingham,AL,35235,5114,Level 4 Musculoskeletal Procedures,55,4354.2,13820
10012,Dekalb Regional Medical Center,Fort Payne,AL,35968,5114,Level 4 Musculoskeletal Procedures,11,4293.88,22840
10016,Shelby Baptist Medical Center,Alabaster,AL,35007,5114,Level 4 Musculoskeletal Procedures,61,4543.35,13820
10019,Helen Keller Memorial Hospital,Sheffield,AL,35660,5114,Level 4 Musculoskeletal Procedures,82,4166.63,22520
10023,Baptist Medical Center South,Montgomery,AL,36116,5114,Level 4 Musculoskeletal Procedures,106,4305.37,33860
10024,Jackson Hospital & Clinic Inc,Montgomery,AL,36106,5114,Level 4 Musculoskeletal Procedures,130,3869.48,33860
10029,East Alabama Medical Center,Opelika,AL,36801,5114,Level 4 Musculoskeletal Procedures,205,4421.44,29300
10029,East Alabama Medical Center,Opelika,AL,36801,5114,Level 4 Musculoskeletal Procedures,205,4421.44,12220
10033,University Of Alabama Hospital,Birmingham,AL,35233,5114,Level 4 Musculoskeletal Procedures,175,4543.37,13820
10035,Cullman Regional Medical Center,Cullman,AL,35058,5114,Level 4 Musculoskeletal Procedures,132,4746.74,18980
10035,Cullman Regional Medical Center,Cullman,AL,35058,5114,Level 4 Musculoskeletal Procedures,132,4746.74,19460
10036,Andalusia Regional Hospital,Andalusia,AL,36420,5114,Level 4 Musculoskeletal Procedures,34,4166.63,99999
10036,Andalusia Regional Hospital,Andalusia,AL,36420,5114,Level 4 Musculoskeletal Procedures,34,4166.63,12120
10038,Stringfellow Memorial Hospital,Anniston,AL,36201,5114,Level 4 Musculoskeletal Procedures,36,3937.98,11500
10039,Huntsville Hospital,Huntsville,AL,35801,5114,Level 4 Musculoskeletal Procedures,597,4512.36,26620
10040,Gadsden Regional Medical Center,Gadsden,AL,35903,5114,Level 4 Musculoskeletal Procedures,233,4305.52,13820
10040,Gadsden Regional Medical Center,Gadsden,AL,35903,5114,Level 4 Musculoskeletal Procedures,233,4305.52,99999
10040,Gadsden Regional Medical Center,Gadsden,AL,35903,5114,Level 4 Musculoskeletal Procedures,233,4305.52,23460
10046,Riverview Regional Medical Center,Gadsden,AL,35901,5114,Level 4 Musculoskeletal Procedures,69,4080.89,99999
10046,Riverview Regional Medical Center,Gadsden,AL,35901,5114,Level 4 Musculoskeletal Procedures,69,4080.89,23460
10049,Medical Center Enterprise,Enterprise,AL,36330,5114,Level 4 Musculoskeletal Procedures,50,4188.51,99999
10049,Medical Center Enterprise,Enterprise,AL,36330,5114,Level 4 Musculoskeletal Procedures,50,4188.51,37120
10049,Medical Center Enterprise,Enterprise,AL,36330,5114,Level 4 Musculoskeletal Procedures,50,4188.51,21460
10055,Flowers Hospital,Dothan,AL,36305,5114,Level 4 Musculoskeletal Procedures,193,4614.8,20020
10056,St Vincent's Birmingham,Birmingham,AL,35205,5114,Level 4 Musculoskeletal Procedures,558,4367.49,13820
10061,Highlands Medical Center,Scottsboro,AL,35768,5114,Level 4 Musculoskeletal Procedures,34,4893.82,42460
10065,Russell Hospital,Alexander City,AL,35010,5114,Level 4 Musculoskeletal Procedures,42,4403.28,33860
10065,Russell Hospital,Alexander City,AL,35010,5114,Level 4 Musculoskeletal Procedures,42,4403.28,10760
10078,Northeast Alabama Regional Medical Center,Anniston,AL,36207,5114,Level 4 Musculoskeletal Procedures,37,4262.25,99999
10078,Northeast Alabama Regional Medical Center,Anniston,AL,36207,5114,Level 4 Musculoskeletal Procedures,37,4262.25,11500
10079,Athens Limestone Hospital,Athens,AL,35611,5114,Level 4 Musculoskeletal Procedures,82,4479.7,26620
10083,South Baldwin Regional Medical Center,Foley,AL,36535,5114,Level 4 Musculoskeletal Procedures,90,4256.37,19300
10085,Decatur Morgan Hospital-Decatur Campus,Decatur,AL,35601,5114,Level 4 Musculoskeletal Procedures,49,4076.94,19460
10087,University Of South Alabama Medical Center,Mobile,AL,36617,5114,Level 4 Musculoskeletal Procedures,14,4409.36,33660
10089,Walker Baptist Medical Center,Jasper,AL,35502,5114,Level 4 Musculoskeletal Procedures,93,4437.59,27530
10090,Providence Hospital,Mobile,AL,36608,5114,Level 4 Musculoskeletal Procedures,87,4408.96,33660
10092,D C H Regional Medical Center,Tuscaloosa,AL,35401,5114,Level 4 Musculoskeletal Procedures,306,4303.87,46220
10100,Thomas Hospital,Fairhope,AL,36532,5114,Level 4 Musculoskeletal Procedures,173,4365.47,19300
10103,Princeton Baptist Medical Center,Birmingham,AL,35211,5114,Level 4 Musculoskeletal Procedures,45,4543.35,13820
10104,Grandview Medical Center,Birmingham,AL,35243,5114,Level 4 Musculoskeletal Procedures,254,4312.5,13820
10113,Mobile Infirmary Medical Center,Mobile,AL,36652,5114,Level 4 Musculoskeletal Procedures,127,4170.33,33660
10114,"Medical West, An Affiliate Of Uab Health System",Bessemer,AL,35021,5114,Level 4 Musculoskeletal Procedures,37,4446.35,13820
10126,Troy Regional Medical Center,Troy,AL,36081,5114,Level 4 Musculoskeletal Procedures,18,4143.96,99999
10126,Troy Regional Medical Center,Troy,AL,36081,5114,Level 4 Musculoskeletal Procedures,18,4143.96,45980
10129,North Baldwin Infirmary,Bay Minette,AL,36507,5114,Level 4 Musculoskeletal Procedures,22,4204.1,19300
10131,Crestwood Medical Center,Huntsville,AL,35801,5114,Level 4 Musculoskeletal Procedures,278,4460.74,26620
10139,Brookwood Baptist Medical Center,Birmingham,AL,35209,5114,Level 4 Musculoskeletal Procedures,213,4470.9,13820
10144,Springhill Memorial Hospital,Mobile,AL,36608,5114,Level 4 Musculoskeletal Procedures,93,4233.64,33660
10149,Baptist Medical Center East,Montgomery,AL,36117,5114,Level 4 Musculoskeletal Procedures,18,4152.12,33860
10158,Russellville Hospital,Russellville,AL,35653,5114,Level 4 Musculoskeletal Procedures,24,4335.26,22520
10158,Russellville Hospital,Russellville,AL,35653,5114,Level 4 Musculoskeletal Procedures,24,4335.26,99999
10164,Coosa Valley Medical Center,Sylacauga,AL,35150,5114,Level 4 Musculoskeletal Procedures,22,4029.96,10760
10164,Coosa Valley Medical Center,Sylacauga,AL,35150,5114,Level 4 Musculoskeletal Procedures,22,4029.96,45180
10168,Jack Hughston Memorial Hospital,Phenix City,AL,36867,5114,Level 4 Musculoskeletal Procedures,239,4471.08,17980
10168,Jack Hughston Memorial Hospital,Phenix City,AL,36867,5114,Level 4 Musculoskeletal Procedures,239,4471.08,12220
20001,Providence Alaska Medical Center,Anchorage,AK,99508,5114,Level 4 Musculoskeletal Procedures,62,6348.32,11260
20006,Mat-Su Regional Medical Center,Palmer,AK,99645,5114,Level 4 Musculoskeletal Procedures,100,6502.62,11260
20008,Bartlett Regional Hospital,Juneau,AK,99801,5114,Level 4 Musculoskeletal Procedures,31,6885.88,27940
20012,Fairbanks Memorial Hospital,Fairbanks,AK,99701,5114,Level 4 Musculoskeletal Procedures,31,6265.67,21820
20017,Alaska Regional Hospital,Anchorage,AK,99508,5114,Level 4 Musculoskeletal Procedures,43,6431.0,11260
20024,Central Peninsula General Hospital,Soldotna,AK,99669,5114,Level 4 Musculoskeletal Procedures,69,6724.43,99999
30002,Banner - University Medical Center Phoenix,Phoenix,AZ,85006,5114,Level 4 Musculoskeletal Procedures,64,5287.28,38060
30006,Tucson Medical Center,Tucson,AZ,85712,5114,Level 4 Musculoskeletal Procedures,180,5349.58,46060
30007,Verde Valley Medical Center,Cottonwood,AZ,86326,5114,Level 4 Musculoskeletal Procedures,41,5692.84,39150
30010,St. Mary's Hospital,Tucson,AZ,85745,5114,Level 4 Musculoskeletal Procedures,84,5420.97,46060
30011,St Joseph's Hospital,Tucson,AZ,85711,5114,Level 4 Musculoskeletal Procedures,102,5188.68,46060
30012,Yavapai Regional Medical Center,Prescott,AZ,86301,5114,Level 4 Musculoskeletal Procedures,227,5652.02,39150
30013,Yuma Regional Medical Center,Yuma,AZ,85364,5114,Level 4 Musculoskeletal Procedures,178,5325.47,49740
30014,John C. Lincoln North Mountain Hospital,Phoenix,AZ,85020,5114,Level 4 Musculoskeletal Procedures,57,5177.09,38060
30016,Banner Casa Grande Medical Center,Casa Grande,AZ,85222,5114,Level 4 Musculoskeletal Procedures,50,5338.75,
30023,Flagstaff Medical Center,Flagstaff,AZ,86001,5114,Level 4 Musculoskeletal Procedures,252,5435.82,22380
30024,St. Joseph's Hospital And Medical Center,Phoenix,AZ,85013,5114,Level 4 Musculoskeletal Procedures,106,5228.95,38060
30030,Abrazo Central Campus,Phoenix,AZ,85015,5114,Level 4 Musculoskeletal Procedures,11,5420.72,38060
30033,Banner Payson Medical Center,Payson,AZ,85541,5114,Level 4 Musculoskeletal Procedures,17,5805.59,37740
30036,Chandler Regional Medical Center,Chandler,AZ,85224,5114,Level 4 Musculoskeletal Procedures,84,5369.35,38060
30037,St Luke's Medical Center,Phoenix,AZ,85006,5114,Level 4 Musculoskeletal Procedures,66,5420.72,38060
30038,Scottsdale Osborn Medical Center,Scottsdale,AZ,85251,5114,Level 4 Musculoskeletal Procedures,210,5402.05,38060
30043,Canyon Vista Medical Center,Sierra Vista,AZ,85635,5114,Level 4 Musculoskeletal Procedures,85,5805.6,43420
30055,Kingman Regional Medical Center,Kingman,AZ,86409,5114,Level 4 Musculoskeletal Procedures,51,5527.28,29420
30061,Banner Boswell Medical Center,Sun City,AZ,85351,5114,Level 4 Musculoskeletal Procedures,140,5278.44,38060
30062,Summit Healthcare Regional Medical Center,Show Low,AZ,85901,5114,Level 4 Musculoskeletal Procedures,62,5656.42,43320
30062,Summit Healthcare Regional Medical Center,Show Low,AZ,85901,5114,Level 4 Musculoskeletal Procedures,62,5656.42,99999
30064,Banner-University Medical Center Tucson Campus,Tucson,AZ,85724,5114,Level 4 Musculoskeletal Procedures,30,5420.72,46060
30065,Banner Desert Medical Center,Mesa,AZ,85202,5114,Level 4 Musculoskeletal Procedures,110,5212.03,38060
30068,Mt. Graham Regional Medical Center,Safford,AZ,85546,5114,Level 4 Musculoskeletal Procedures,22,5805.59,40940
30069,Havasu Regional Medical Center,Lake Havasu City,AZ,86403,5114,Level 4 Musculoskeletal Procedures,185,5672.45,29420
30083,Abrazo Scottsdale Campus,Phoenix,AZ,85032,5114,Level 4 Musculoskeletal Procedures,31,5316.83,38060
30085,Northwest Medical Center,Tucson,AZ,85741,5114,Level 4 Musculoskeletal Procedures,294,5346.34,46060
30087,Scottsdale Shea Medical Center,Scottsdale,AZ,85260,5114,Level 4 Musculoskeletal Procedures,149,5291.61,38060
30088,Banner Baywood Medical Center,Mesa,AZ,85206,5114,Level 4 Musculoskeletal Procedures,67,5293.98,38060
30089,Banner Thunderbird Medical Center,Glendale,AZ,85306,5114,Level 4 Musculoskeletal Procedures,42,5115.71,38060
30092,Honorhealth Deer Valley Medical Center,Phoenix,AZ,85027,5114,Level 4 Musculoskeletal Procedures,123,5306.73,38060
30093,Banner Del E. Webb Medical Center,Sun City West,AZ,85375,5114,Level 4 Musculoskeletal Procedures,262,5342.13,38060
30094,Abrazo Arrowhead Campus,Glendale,AZ,85308,5114,Level 4 Musculoskeletal Procedures,48,5330.76,38060
30103,Mayo Clinic Hospital,Phoenix,AZ,85054,5114,Level 4 Musculoskeletal Procedures,232,5385.64,38060
30107,Arizona Spine And Joint Hospital,Mesa,AZ,85206,5114,Level 4 Musculoskeletal Procedures,162,5398.0,38060
30108,"Core Institute Specialty Hospital, The",Phoenix,AZ,85015,5114,Level 4 Musculoskeletal Procedures,112,5305.06,38060
