provider_id,provider_name,provider_city,provider_state,provider_zip_code,apc,apc_desc,capc_services,average_medicare_allowed_amount,CBSA
310001,Hackensack University Medical Center,Hackensack,NJ,07601,5302,Level 2 Upper GI Procedures,197,1538.63,35620
310002,Newark Beth Israel Medical Center,Newark,NJ,07112,5302,Level 2 Upper GI Procedures,20,1528.38,35620
310003,Palisades Medical Center,North Bergen,NJ,07047,5302,Level 2 Upper GI Procedures,22,1544.85,35620
310005,Hunterdon Medical Center,Flemington,NJ,08822,5302,Level 2 Upper GI Procedures,53,1398.08,35620
310006,St Mary's General Hospital,Passaic,NJ,07055,5302,Level 2 Upper GI Procedures,39,1544.85,35620
310008,Holy Name Medical Center,Teaneck,NJ,07666,5302,Level 2 Upper GI Procedures,48,1544.85,35620
310009,Clara Maass Medical Center,Belleville,NJ,07109,5302,Level 2 Upper GI Procedures,46,1501.97,35620
310010,Univ Medical Center Of Princeton At Plainsboro,Plainsboro,NJ,08536,5302,Level 2 Upper GI Procedures,95,1505.81,35620
310012,Valley Hospital,Ridgewood,NJ,07450,5302,Level 2 Upper GI Procedures,85,1544.86,35620
310015,Morristown Medical Center,Morristown,NJ,07962,5302,Level 2 Upper GI Procedures,228,1519.71,35620
310016,Carepoint Health-Christ Hospital,Jersey City,NJ,07306,5302,Level 2 Upper GI Procedures,17,1544.85,35620
310017,Chilton Medical Center,Pompton Plains,NJ,07444,5302,Level 2 Upper GI Procedures,66,1509.93,35620
310019,St Joseph's Regional Medical Center,Paterson,NJ,07503,5302,Level 2 Upper GI Procedures,122,1534.76,35620
310024,Robert Wood Johnson University Hospital At Rahway,Rahway,NJ,07065,5302,Level 2 Upper GI Procedures,40,1419.46,35620
310025,Carepoint Health - Bayonne Medical Center,Bayonne,NJ,07002,5302,Level 2 Upper GI Procedures,54,1544.91,35620
310027,Trinitas Regional Medical Center,Elizabeth,NJ,07207,5302,Level 2 Upper GI Procedures,45,1396.87,35620
310028,Newton Medical Center,Newton,NJ,07860,5302,Level 2 Upper GI Procedures,28,1528.54,35620
