provider_type,CBSA,npi,bene_day_srvc_cnt,average_medicare_allowed_amt
Addiction Medicine,10420,1285669481,58,69.51
Addiction Medicine,10580,5516757423,844,273.59000000000003
Addiction Medicine,10740,2612178626,188,129.66
Addiction Medicine,11220,2854233032,252,102.36
Addiction Medicine,11460,5008771056,388,472.66999999999996
Addiction Medicine,12060,8907929808,1206,532.22
Addiction Medicine,12420,17722295370,1091,1237.663560802
Addiction Medicine,12700,10030162416,735,527.99
Addiction Medicine,13020,2309018344,248,267.78
Addiction Medicine,13340,1902832868,79,70.891265823
Addiction Medicine,13620,1740475490,341,75.74
Addiction Medicine,14100,1922327600,123,80.982276423
Addiction Medicine,14260,1134139991,229,99.81
Addiction Medicine,14460,26248201995,3256,1595.344484417
Addiction Medicine,15260,2106681078,240,109.53
Addiction Medicine,15540,5615424861,325,240.815823293
Addiction Medicine,16620,5584297779,406,268.4
Addiction Medicine,16700,1073541892,50,102.91
Addiction Medicine,16740,5748688048,5223,455.41999999999996
Addiction Medicine,16980,3400094032,63,139.67000000000002
Addiction Medicine,17060,1891753539,44,70.721363636
Addiction Medicine,17140,8903487677,712,452.377619048
Addiction Medicine,17860,2147024910,117,125.9
Addiction Medicine,18140,4496293132,927,476.85
Addiction Medicine,18180,4463265483,160,232.43
Addiction Medicine,19430,11350895970,826,522.637619048
Addiction Medicine,19460,1154377828,160,99.36
Addiction Medicine,19820,23010944016,34530,1355.164885467
Addiction Medicine,20740,1326058413,35,69.54
Addiction Medicine,21660,4052917172,374,482.92999999999995
Addiction Medicine,22660,3743035824,538,277.40642994
Addiction Medicine,23060,1144274275,16,95.75
Addiction Medicine,23540,13369148492,698,1173.49
Addiction Medicine,24100,2854233032,252,102.36
Addiction Medicine,24340,4820395212,163,518.97
Addiction Medicine,24540,3743035824,538,277.40642994
Addiction Medicine,24660,4170547610,845,275.71999999999997
Addiction Medicine,25540,3127354501,257,194.14999999999998
Addiction Medicine,25860,5748688048,5223,455.41999999999996
Addiction Medicine,26420,1851385835,561,73.32
Addiction Medicine,27260,1952337990,107,142.46
Addiction Medicine,27620,2147024910,117,125.9
Addiction Medicine,27780,2389573362,226,108.278744442
Addiction Medicine,27980,1598967119,91,76.86087912100001
Addiction Medicine,28020,3783632854,583,268.28875440900003
Addiction Medicine,28740,4008424941,978,405.30999999999995
Addiction Medicine,28940,4130346135,152,413.27
Addiction Medicine,29820,7801912241,1021,515.107837195
Addiction Medicine,30100,1497828859,497,71.92
Addiction Medicine,31080,4575342052,171,240.49
Addiction Medicine,32820,1821330895,23,101.91
Addiction Medicine,33100,6071031190,208,471.51
Addiction Medicine,33460,9383987344,875,740.396716188
Addiction Medicine,34060,1003815515,99,69.06
Addiction Medicine,34820,1700877958,133,100.85
Addiction Medicine,34980,7042298440,821,493.93515151500003
Addiction Medicine,35300,2632517550,62,203.871738564
Addiction Medicine,35380,3460373500,154,178.85000000000002
Addiction Medicine,35620,8704538014,695,486.591621622
Addiction Medicine,37060,1922101328,87,66.43
Addiction Medicine,37980,8691422487,485,567.1800000000001
Addiction Medicine,38060,11666771550,1718,945.24
Addiction Medicine,38300,4372143437,557,317.51
Addiction Medicine,38860,4160054604,888,283.38
Addiction Medicine,38900,1770651200,11,110.93
