,hcpcs_code,average_medicare_allowed_amt,year
0,22533,1073.3656504394596,2017
1,22600,720.3558839861413,2017
2,51999,1806.8362644923527,2017
3,67113,1284.4941515958744,2017
4,67228,331.506729590984,2017
5,22533,928.8966673729409,2016
6,22600,684.7441213531253,2016
7,51999,1771.6217823666666,2016
8,67113,1339.807551666272,2016
9,67228,329.30553423280327,2016
10,22533,1023.4882947417951,2015
11,22600,800.1702540563342,2015
12,51999,1455.2939177807143,2015
13,67113,1520.0055492797762,2015
14,67228,959.3307220727155,2015
